StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,year_of_birth,sex,aff_com1_likert7,aff_com2_likert7,aff_com3_likert7rev,aff_com4_likert7rev,aff_com5_likert7rev,aff_com6_likert7,contin_com1_likert7,contin_com2_likert7,contin_com3_likert7,contin_com4_likert7,contin_com5_likert7,contin_com6_likert7,norm_com1_likert7rev,norm_com2_likert7,norm_com3_likert7,norm_com4_likert7,norm_com5_likert7,norm_com6_likert7,job_aff1_likert5,job_aff2_likert5,job_aff3_likert5,job_aff4_likert5
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_71CYbqXJ04j6uvs,,,,,43.51809692,-80.18730164,test,,1965,male,Slightly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Strongly Disagree,Slightly Disagree,Slightly Agree,Moderately Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Moderately Agree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_37SVMRT8TW5nTJY,,,,,43.51809692,-80.18730164,test,,1960,intersex,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Slightly Disagree,Moderately Disagree,Slightly Agree,Moderately Agree,Moderately Agree,Slightly Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Strongly Agree,Moderately Disagree,Slightly Disagree,Moderately Agree,Moderately Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_8vrJwASvgK5lry6,,,,,43.51809692,-80.18730164,test,,1956,male,Strongly Agree,Moderately Disagree,Moderately Disagree,Neither Agree nor Disagree,Moderately Disagree,Neither Agree nor Disagree,Slightly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Moderately Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_eWFiGJMJdJbSQ8S,,,,,43.51809692,-80.18730164,test,,1997,intersex,Slightly Disagree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Moderately Disagree,Moderately Agree,Slightly Agree,Moderately Agree,Slightly Disagree,Moderately Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_7PXSSjaQEwG8fTE,,,,,43.51809692,-80.18730164,test,,1955,intersex,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Agree,Slightly Agree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Moderately Agree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Moderately Disagree,Slightly Agree,Moderately Agree,Moderately Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_eKWXZObkILAa3Fc,,,,,43.51809692,-80.18730164,test,,1962,intersex,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Neither Agree nor Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_25jGMzGtjqUUQLA,,,,,43.51809692,-80.18730164,test,,1964,male,Neither Agree nor Disagree,Moderately Agree,Slightly Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Moderately Agree,Moderately Disagree,Neither Agree nor Disagree,Moderately Agree,Moderately Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Agree,Strongly Disagree,Agree,Neutral
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_dcZ6VlrvADgFVAy,,,,,43.51809692,-80.18730164,test,,2007,female,Strongly Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Slightly Agree,Moderately Agree,Strongly Disagree,Moderately Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_7amrDZHs7ZL0yai,,,,,43.51809692,-80.18730164,test,,1954,intersex,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Moderately Agree,Moderately Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Moderately Disagree,Agree,Neutral,Agree,Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_cwQxtjq47rQhjnw,,,,,43.51809692,-80.18730164,test,,1970,female,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Neither Agree nor Disagree,Slightly Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Disagree,Agree,Disagree,Agree,Strongly Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_d7iCWa01dFfxVzM,,,,,43.51809692,-80.18730164,test,,1954,male,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Moderately Agree,Strongly Agree,Neither Agree nor Disagree,Slightly Disagree,Agree,Agree,Agree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_ebNbNKrwenLG8E6,,,,,43.51809692,-80.18730164,test,,1975,female,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Moderately Agree,Moderately Agree,Strongly Disagree,Slightly Disagree,Moderately Agree,Moderately Agree,Slightly Agree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Moderately Agree,Neither Agree nor Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_bjfcPe25HuleeTI,,,,,43.51809692,-80.18730164,test,,1951,male,Slightly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Neither Agree nor Disagree,Strongly Disagree,Moderately Agree,Neither Agree nor Disagree,Slightly Agree,Moderately Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_dbsdfA3Re7ZFDZc,,,,,43.51809692,-80.18730164,test,,2004,male,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Slightly Disagree,Moderately Agree,Slightly Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Slightly Disagree,Moderately Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,Neutral
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_1FYgJpoUUF8xAtE,,,,,43.51809692,-80.18730164,test,,2006,intersex,Slightly Agree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Moderately Agree,Moderately Disagree,Slightly Disagree,Moderately Agree,Disagree,Agree,Strongly Agree,Strongly Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_9tSpzizaUYbD7sW,,,,,43.51809692,-80.18730164,test,,2005,male,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Moderately Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_6VUrI6zP1QBu7m6,,,,,43.51809692,-80.18730164,test,,1993,male,Moderately Disagree,Strongly Disagree,Slightly Agree,Moderately Disagree,Moderately Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Moderately Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Moderately Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_86LC7pzUKgBRLSu,,,,,43.51809692,-80.18730164,test,,1959,male,Strongly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Neither Agree nor Disagree,Moderately Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_bPlGM7pviu5FWg6,,,,,43.51809692,-80.18730164,test,,1985,female,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Slightly Disagree,Moderately Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Moderately Disagree,Neither Agree nor Disagree,Moderately Agree,Slightly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_5d4rjJcqXftc4nA,,,,,43.51809692,-80.18730164,test,,1961,male,Strongly Agree,Moderately Disagree,Slightly Agree,Slightly Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Slightly Agree,Neither Agree nor Disagree,Moderately Agree,Neither Agree nor Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Moderately Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_e9XAJJOhlj8zH2C,,,,,43.51809692,-80.18730164,test,,1952,female,Moderately Agree,Moderately Agree,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Moderately Agree,Neither Agree nor Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Moderately Agree,Slightly Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_6zKv7enta1rpBIi,,,,,43.51809692,-80.18730164,test,,1953,intersex,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_6WLwO1fPAyrDEbk,,,,,43.51809692,-80.18730164,test,,2005,intersex,Moderately Agree,Moderately Disagree,Slightly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Agree,Neither Agree nor Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Moderately Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_cVedyTpfqVuSF1A,,,,,43.51809692,-80.18730164,test,,1949,female,Slightly Disagree,Slightly Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Disagree,Moderately Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Agree,Agree,Neutral,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_beIbAkSEqD7uCma,,,,,43.51809692,-80.18730164,test,,1943,female,Slightly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Slightly Disagree,Moderately Disagree,Neither Agree nor Disagree,Moderately Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_1NvIHz8Z2juS4C2,,,,,43.51809692,-80.18730164,test,,1967,female,Slightly Disagree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Moderately Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Disagree,Moderately Disagree,Slightly Agree,Moderately Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree
2021-08-11 16:10,2021-08-11 16:10,Survey Test,,100,0,TRUE,2021-08-11 16:10,R_9t4u9HycpS0v2mO,,,,,43.51809692,-80.18730164,test,,1991,female,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Neither Agree nor Disagree,Moderately Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Disagree,Slightly Agree,Moderately Agree,Slightly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree
